🎬电影频道,#genre#
黑莓电影,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221227448/index.m3u8
经典电影,https://lunbo.freetv.top/yy/1450556636

🏀体育频道,#genre#
CCTV-5,http://1.180.2.93:9901/tsfile/live/1027_1.m3u8
CCTV-5,http://yahao.myqnapcloud.com:4022/rtp/239.77.0.170:5146
CCTV-5,http://dq.eric702.top:8800/udp/239.77.0.170:5146
CCTV-5,http://123.118.98.52:3391/rtp/239.3.1.173:8001
CCTV-5,http://113.100.73.223:8899/rtp/239.77.0.170:5146
CCTV-5,http://120.9.52.56:8809/rtp/239.253.92.181:6046
CCTV-5,http://omnix.cn:4000/udp/225.1.8.89:8000
CCTV-5+,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225821/index.m3u8
CCTV-5+,http://123.118.98.52:3391/rtp/239.3.1.130:8004
CCTV-5+,http://fjcm-2117.live.iptv.darwinchow.com/PLTV/88888888/224/3221225821/index.m3u8
CCTV-5+,http://dq.eric702.top:8800/udp/239.77.0.87:5146
CCTV-5+,http://120.9.52.56:8809/rtp/239.253.92.82:8013
CCTV-5+,http://113.100.73.223:8899/rtp/239.77.0.87:5146
广东体育,http://yahao.myqnapcloud.com:4022/rtp/239.77.0.168:5146
广东体育,http://113.100.73.223:8899/rtp/239.77.0.168:5146
睛彩篮球,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221227158/index.m3u8
快乐垂钓,http://fjcm-2117.live.iptv.darwinchow.com/PLTV/88888888/224/3221226940/index.m3u8
快乐垂钓,http://drive.mxmy.net:8888/udp/239.3.1.164:8001

🪁动画频道,#genre#
优漫卡通,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221227339/index.m3u8
黑莓动画,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221227303/index.m3u8
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
火影忍者,https://hd.ijycnd.com/play/Yer3NWLa/index.m3u8
蜡笔小新,http://www.douzhicloud.site:35455/bilibili/30837590

🎵音乐频道,#genre#
CCTV-15,http://dq.eric702.top:8800/udp/239.77.1.239:5146
CCTV-15,http://fjcm-2117.live.iptv.darwinchow.com/PLTV/88888888/224/3221225818/index.m3u8

🏛经典剧场,#genre#
笑傲江湖,https://lunbo.freetv.top/yy/1352833750
笑傲江湖,http://iptv.jxpan.vip:18888/aio/huya/23865142
封神榜,https://lunbo.freetv.top/yy/1382797534
封神榜,http://iptv.jxpan.vip:18888/aio/huya/29465849

🕘️更新时间,#genre#
2025-08-06 18:37:28,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221227448/index.m3u8
