🎬电影频道,#genre#
CHC家庭影院,http://hzzzz530.com:4022/udp/239.69.1.243:11100
CHC动作电影,http://hzzzz530.com:4022/udp/239.69.1.242:11094
黑莓电影,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221227448/index.m3u8
经典电影,https://lunbo.freetv.top/yy/1450556636
东森超视,rtmp://f13h.mine.nu/sat/tv331
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist0.m3u8

🏀体育频道,#genre#
CCTV-5,http://1.180.2.93:9901/tsfile/live/1027_1.m3u8
CCTV-5,http://yahao.myqnapcloud.com:4022/rtp/239.77.0.170:5146
CCTV-5,http://120.9.52.56:8809/rtp/239.253.92.181:6046
CCTV-5,http://113.100.73.223:8899/rtp/239.77.0.170:5146
CCTV-5,http://www.v5b7.com.cn:7088/udp/239.45.1.69:5140
CCTV-5,http://dq.eric702.top:8800/udp/239.77.0.170:5146
CCTV-5+,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225821/index.m3u8
CCTV-5+,http://fjcm-2117.live.iptv.darwinchow.com/PLTV/88888888/224/3221225821/index.m3u8
CCTV-5+,http://yahao.myqnapcloud.com:4022/rtp/239.77.0.87:5146
CCTV-5+,http://113.100.73.223:8899/rtp/239.77.0.87:5146
CCTV-5+,http://120.9.52.56:8809/rtp/239.253.92.82:8013
广东体育,http://yahao.myqnapcloud.com:4022/rtp/239.77.0.168:5146
广东体育,http://dq.eric702.top:8800/rtp/239.77.0.168:5146
广东体育,http://113.100.73.223:8899/rtp/239.77.0.168:5146
纬来体育,rtmp://f13h.mine.nu/sat/tv721
睛彩篮球,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221227158/index.m3u8
风云足球,http://www.lizhinas.top:1009/rtp/239.252.219.96:5140
快乐垂钓,http://fjcm-2117.live.iptv.darwinchow.com/PLTV/88888888/224/3221226940/index.m3u8
JJ斗地主,https://lunbo.freetv.top/douyu/488743

🪁动画频道,#genre#
优漫卡通,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221227339/index.m3u8
黑莓动画,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221227303/index.m3u8
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?fbl=#migu5://611318244
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?fbl=
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8?#https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8#http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
火影忍者,https://hd.ijycnd.com/play/Yer3NWLa/index.m3u8

🎵音乐频道,#genre#
CCTV-15,http://fjcm-2117.live.iptv.darwinchow.com/PLTV/88888888/224/3221225818/index.m3u8

🏛经典剧场,#genre#
笑傲江湖,https://lunbo.freetv.top/yy/1352833750
笑傲江湖,http://iptv.jxpan.vip:18888/aio/huya/23865142
封神榜,https://lunbo.freetv.top/yy/1382797534
封神榜,http://iptv.jxpan.vip:18888/aio/huya/29465849
射雕英雄传,http://iptv.jxpan.vip:18888/aio/huya/23824164

🕘️更新时间,#genre#
2025-08-07 18:37:20,http://hzzzz530.com:4022/udp/239.69.1.243:11100
